Country,Element,Item,Year,Unit,Value
Spain,Production,"Roots, Other",2007,1000 tonnes,10
Spain,Production,"Roots, Other",2008,1000 tonnes,9
Spain,Production,"Roots, Other",2009,1000 tonnes,8
Spain,Production,"Roots, Other",2010,1000 tonnes,6
Spain,Production,"Roots, Other",2011,1000 tonnes,6
Spain,Production,"Roots, Other",2012,1000 tonnes,7
Spain,Production,"Roots, Other",2013,1000 tonnes,7
Spain,Production,Sugar beet,2000,1000 tonnes,7930
Spain,Production,Sugar beet,2001,1000 tonnes,6755
Spain,Production,Sugar beet,2002,1000 tonnes,8197
Spain,Production,Sugar beet,2003,1000 tonnes,6365
Spain,Production,Sugar beet,2004,1000 tonnes,7175
Spain,Production,Sugar beet,2005,1000 tonnes,7291
Spain,Production,Sugar beet,2006,1000 tonnes,5827
Spain,Production,Sugar beet,2007,1000 tonnes,4910
Spain,Production,Sugar beet,2008,1000 tonnes,3988
Spain,Production,Sugar beet,2009,1000 tonnes,4225
Spain,Production,Sugar beet,2010,1000 tonnes,3535
Spain,Production,Sugar beet,2011,1000 tonnes,4189
Spain,Production,Sugar beet,2012,1000 tonnes,3460
Spain,Production,Sugar beet,2013,1000 tonnes,2519
Spain,Production,Beans,2000,1000 tonnes,13
Spain,Production,Beans,2001,1000 tonnes,15
Spain,Production,Beans,2002,1000 tonnes,13
Spain,Production,Beans,2003,1000 tonnes,15
Spain,Production,Beans,2004,1000 tonnes,16
Spain,Production,Beans,2005,1000 tonnes,15
Spain,Production,Beans,2006,1000 tonnes,14
Spain,Production,Beans,2007,1000 tonnes,11
Spain,Production,Beans,2008,1000 tonnes,10
Spain,Production,Beans,2009,1000 tonnes,13
Spain,Production,Beans,2010,1000 tonnes,12
Spain,Production,Beans,2011,1000 tonnes,12
Spain,Production,Beans,2012,1000 tonnes,10
Spain,Production,Beans,2013,1000 tonnes,11
Spain,Production,Peas,2000,1000 tonnes,58
Spain,Production,Peas,2001,1000 tonnes,52
Spain,Production,Peas,2002,1000 tonnes,100
Spain,Production,Peas,2003,1000 tonnes,148
